n:1 mse_avg:0.31 mse_y:0.37 mse_u:0.22 mse_v:0.15 psnr_avg:53.20 psnr_y:52.41 psnr_u:54.67 psnr_v:56.25
n:2 mse_avg:0.53 mse_y:0.65 mse_u:0.37 mse_v:0.20 psnr_avg:50.90 psnr_y:50.00 psnr_u:52.47 psnr_v:55.05
n:3 mse_avg:0.63 mse_y:0.79 mse_u:0.43 mse_v:0.22 psnr_avg:50.12 psnr_y:49.17 psnr_u:51.84 psnr_v:54.73
n:4 mse_avg:0.64 mse_y:0.79 mse_u:0.45 mse_v:0.23 psnr_avg:50.09 psnr_y:49.17 psnr_u:51.60 psnr_v:54.58
n:5 mse_avg:0.70 mse_y:0.86 mse_u:0.49 mse_v:0.24 psnr_avg:49.70 psnr_y:48.78 psnr_u:51.23 psnr_v:54.26
n:6 mse_avg:0.74 mse_y:0.91 mse_u:0.52 mse_v:0.26 psnr_avg:49.46 psnr_y:48.53 psnr_u:51.01 psnr_v:54.03
n:7 mse_avg:0.71 mse_y:0.86 mse_u:0.52 mse_v:0.26 psnr_avg:49.63 psnr_y:48.76 psnr_u:50.94 psnr_v:53.92
n:8 mse_avg:0.71 mse_y:0.87 mse_u:0.53 mse_v:0.27 psnr_avg:49.60 psnr_y:48.73 psnr_u:50.90 psnr_v:53.84
n:9 mse_avg:0.73 mse_y:0.88 mse_u:0.54 mse_v:0.28 psnr_avg:49.52 psnr_y:48.66 psnr_u:50.79 psnr_v:53.71
n:10 mse_avg:0.73 mse_y:0.89 mse_u:0.55 mse_v:0.28 psnr_avg:49.49 psnr_y:48.63 psnr_u:50.75 psnr_v:53.66
n:11 mse_avg:0.75 mse_y:0.91 mse_u:0.56 mse_v:0.29 psnr_avg:49.40 psnr_y:48.54 psnr_u:50.64 psnr_v:53.55
n:12 mse_avg:0.74 mse_y:0.89 mse_u:0.57 mse_v:0.29 psnr_avg:49.45 psnr_y:48.62 psnr_u:50.57 psnr_v:53.50
n:13 mse_avg:0.73 mse_y:0.88 mse_u:0.56 mse_v:0.29 psnr_avg:49.49 psnr_y:48.66 psnr_u:50.62 psnr_v:53.53
n:14 mse_avg:0.74 mse_y:0.89 mse_u:0.57 mse_v:0.29 psnr_avg:49.47 psnr_y:48.64 psnr_u:50.59 psnr_v:53.56
n:15 mse_avg:0.73 mse_y:0.88 mse_u:0.56 mse_v:0.29 psnr_avg:49.50 psnr_y:48.67 psnr_u:50.68 psnr_v:53.57
n:16 mse_avg:0.69 mse_y:0.83 mse_u:0.53 mse_v:0.28 psnr_avg:49.75 psnr_y:48.94 psnr_u:50.86 psnr_v:53.68
n:17 mse_avg:0.69 mse_y:0.83 mse_u:0.53 mse_v:0.27 psnr_avg:49.75 psnr_y:48.94 psnr_u:50.87 psnr_v:53.77
n:18 mse_avg:0.69 mse_y:0.84 mse_u:0.52 mse_v:0.27 psnr_avg:49.73 psnr_y:48.89 psnr_u:50.96 psnr_v:53.82
n:19 mse_avg:0.69 mse_y:0.83 mse_u:0.53 mse_v:0.27 psnr_avg:49.77 psnr_y:48.96 psnr_u:50.86 psnr_v:53.78
n:20 mse_avg:0.67 mse_y:0.81 mse_u:0.53 mse_v:0.27 psnr_avg:49.84 psnr_y:49.04 psnr_u:50.90 psnr_v:53.76
n:21 mse_avg:0.68 mse_y:0.83 mse_u:0.53 mse_v:0.27 psnr_avg:49.78 psnr_y:48.96 psnr_u:50.91 psnr_v:53.76
n:22 mse_avg:0.69 mse_y:0.84 mse_u:0.53 mse_v:0.27 psnr_avg:49.73 psnr_y:48.90 psnr_u:50.89 psnr_v:53.74
n:23 mse_avg:0.67 mse_y:0.81 mse_u:0.53 mse_v:0.28 psnr_avg:49.85 psnr_y:49.05 psnr_u:50.91 psnr_v:53.72
n:24 mse_avg:0.67 mse_y:0.79 mse_u:0.54 mse_v:0.29 psnr_avg:49.89 psnr_y:49.14 psnr_u:50.79 psnr_v:53.55
n:25 mse_avg:0.68 mse_y:0.81 mse_u:0.54 mse_v:0.30 psnr_avg:49.81 psnr_y:49.04 psnr_u:50.84 psnr_v:53.39
n:26 mse_avg:0.69 mse_y:0.82 mse_u:0.55 mse_v:0.31 psnr_avg:49.75 psnr_y:49.00 psnr_u:50.74 psnr_v:53.28
n:27 mse_avg:0.67 mse_y:0.79 mse_u:0.55 mse_v:0.31 psnr_avg:49.86 psnr_y:49.16 psnr_u:50.70 psnr_v:53.17
n:28 mse_avg:0.68 mse_y:0.80 mse_u:0.57 mse_v:0.32 psnr_avg:49.80 psnr_y:49.12 psnr_u:50.54 psnr_v:53.02
n:29 mse_avg:0.69 mse_y:0.81 mse_u:0.57 mse_v:0.33 psnr_avg:49.74 psnr_y:49.04 psnr_u:50.56 psnr_v:52.98
n:30 mse_avg:0.97 mse_y:1.18 mse_u:0.72 mse_v:0.40 psnr_avg:48.24 psnr_y:47.41 psnr_u:49.54 psnr_v:52.07
n:31 mse_avg:0.74 mse_y:0.88 mse_u:0.59 mse_v:0.34 psnr_avg:49.41 psnr_y:48.66 psnr_u:50.45 psnr_v:52.77
n:32 mse_avg:0.70 mse_y:0.83 mse_u:0.58 mse_v:0.34 psnr_avg:49.65 psnr_y:48.95 psnr_u:50.53 psnr_v:52.79
n:33 mse_avg:0.70 mse_y:0.82 mse_u:0.58 mse_v:0.34 psnr_avg:49.67 psnr_y:48.98 psnr_u:50.51 psnr_v:52.85
n:34 mse_avg:0.70 mse_y:0.83 mse_u:0.58 mse_v:0.34 psnr_avg:49.66 psnr_y:48.96 psnr_u:50.52 psnr_v:52.87
n:35 mse_avg:0.70 mse_y:0.82 mse_u:0.57 mse_v:0.34 psnr_avg:49.70 psnr_y:49.01 psnr_u:50.54 psnr_v:52.86
n:36 mse_avg:0.71 mse_y:0.83 mse_u:0.57 mse_v:0.34 psnr_avg:49.65 psnr_y:48.93 psnr_u:50.56 psnr_v:52.87
n:37 mse_avg:0.74 mse_y:0.88 mse_u:0.58 mse_v:0.34 psnr_avg:49.43 psnr_y:48.67 psnr_u:50.51 psnr_v:52.82
n:38 mse_avg:0.75 mse_y:0.89 mse_u:0.57 mse_v:0.34 psnr_avg:49.39 psnr_y:48.62 psnr_u:50.55 psnr_v:52.87
n:39 mse_avg:0.74 mse_y:0.88 mse_u:0.56 mse_v:0.33 psnr_avg:49.45 psnr_y:48.67 psnr_u:50.64 psnr_v:52.91
n:40 mse_avg:0.74 mse_y:0.88 mse_u:0.57 mse_v:0.34 psnr_avg:49.45 psnr_y:48.68 psnr_u:50.61 psnr_v:52.78
n:41 mse_avg:0.74 mse_y:0.89 mse_u:0.56 mse_v:0.35 psnr_avg:49.42 psnr_y:48.65 psnr_u:50.62 psnr_v:52.71
n:42 mse_avg:0.72 mse_y:0.85 mse_u:0.55 mse_v:0.36 psnr_avg:49.58 psnr_y:48.85 psnr_u:50.73 psnr_v:52.51
n:43 mse_avg:0.69 mse_y:0.81 mse_u:0.54 mse_v:0.38 psnr_avg:49.72 psnr_y:49.06 psnr_u:50.77 psnr_v:52.32
n:44 mse_avg:0.69 mse_y:0.81 mse_u:0.56 mse_v:0.39 psnr_avg:49.71 psnr_y:49.07 psnr_u:50.68 psnr_v:52.26
n:45 mse_avg:0.70 mse_y:0.81 mse_u:0.56 mse_v:0.39 psnr_avg:49.67 psnr_y:49.03 psnr_u:50.62 psnr_v:52.20
n:46 mse_avg:0.74 mse_y:0.86 mse_u:0.58 mse_v:0.41 psnr_avg:49.46 psnr_y:48.81 psnr_u:50.46 psnr_v:52.06
n:47 mse_avg:0.71 mse_y:0.82 mse_u:0.58 mse_v:0.40 psnr_avg:49.62 psnr_y:48.99 psnr_u:50.49 psnr_v:52.16
n:48 mse_avg:0.72 mse_y:0.82 mse_u:0.60 mse_v:0.40 psnr_avg:49.57 psnr_y:48.97 psnr_u:50.34 psnr_v:52.06
n:49 mse_avg:0.76 mse_y:0.88 mse_u:0.61 mse_v:0.42 psnr_avg:49.33 psnr_y:48.69 psnr_u:50.25 psnr_v:51.94
n:50 mse_avg:0.76 mse_y:0.88 mse_u:0.61 mse_v:0.42 psnr_avg:49.35 psnr_y:48.70 psnr_u:50.28 psnr_v:51.94
n:51 mse_avg:0.77 mse_y:0.89 mse_u:0.62 mse_v:0.42 psnr_avg:49.26 psnr_y:48.62 psnr_u:50.19 psnr_v:51.85
n:52 mse_avg:0.79 mse_y:0.92 mse_u:0.63 mse_v:0.43 psnr_avg:49.16 psnr_y:48.51 psnr_u:50.13 psnr_v:51.79
n:53 mse_avg:0.77 mse_y:0.89 mse_u:0.62 mse_v:0.43 psnr_avg:49.26 psnr_y:48.63 psnr_u:50.19 psnr_v:51.75
n:54 mse_avg:0.79 mse_y:0.92 mse_u:0.63 mse_v:0.44 psnr_avg:49.15 psnr_y:48.51 psnr_u:50.11 psnr_v:51.70
n:55 mse_avg:0.78 mse_y:0.90 mse_u:0.63 mse_v:0.44 psnr_avg:49.22 psnr_y:48.59 psnr_u:50.11 psnr_v:51.72
n:56 mse_avg:0.80 mse_y:0.94 mse_u:0.63 mse_v:0.44 psnr_avg:49.09 psnr_y:48.42 psnr_u:50.11 psnr_v:51.68
n:57 mse_avg:0.83 mse_y:0.97 mse_u:0.64 mse_v:0.45 psnr_avg:48.96 psnr_y:48.28 psnr_u:50.06 psnr_v:51.61
n:58 mse_avg:0.83 mse_y:0.97 mse_u:0.65 mse_v:0.44 psnr_avg:48.94 psnr_y:48.25 psnr_u:50.03 psnr_v:51.67
n:59 mse_avg:1.04 mse_y:1.23 mse_u:0.76 mse_v:0.53 psnr_avg:47.97 psnr_y:47.22 psnr_u:49.31 psnr_v:50.86
n:60 mse_avg:0.89 mse_y:1.04 mse_u:0.67 mse_v:0.48 psnr_avg:48.65 psnr_y:47.95 psnr_u:49.84 psnr_v:51.32
n:61 mse_avg:0.78 mse_y:0.93 mse_u:0.55 mse_v:0.40 psnr_avg:49.22 psnr_y:48.44 psnr_u:50.76 psnr_v:52.11
n:62 mse_avg:0.75 mse_y:0.90 mse_u:0.55 mse_v:0.37 psnr_avg:49.37 psnr_y:48.61 psnr_u:50.71 psnr_v:52.41
n:63 mse_avg:0.78 mse_y:0.93 mse_u:0.58 mse_v:0.38 psnr_avg:49.21 psnr_y:48.44 psnr_u:50.52 psnr_v:52.38
n:64 mse_avg:0.79 mse_y:0.95 mse_u:0.59 mse_v:0.39 psnr_avg:49.13 psnr_y:48.37 psnr_u:50.41 psnr_v:52.27
n:65 mse_avg:0.80 mse_y:0.96 mse_u:0.60 mse_v:0.39 psnr_avg:49.09 psnr_y:48.33 psnr_u:50.33 psnr_v:52.20
n:66 mse_avg:0.80 mse_y:0.95 mse_u:0.60 mse_v:0.39 psnr_avg:49.08 psnr_y:48.33 psnr_u:50.31 psnr_v:52.18
n:67 mse_avg:0.78 mse_y:0.92 mse_u:0.59 mse_v:0.39 psnr_avg:49.23 psnr_y:48.50 psnr_u:50.44 psnr_v:52.19
n:68 mse_avg:0.79 mse_y:0.94 mse_u:0.60 mse_v:0.40 psnr_avg:49.15 psnr_y:48.41 psnr_u:50.36 psnr_v:52.16
n:69 mse_avg:0.77 mse_y:0.91 mse_u:0.59 mse_v:0.38 psnr_avg:49.28 psnr_y:48.55 psnr_u:50.44 psnr_v:52.31
n:70 mse_avg:0.75 mse_y:0.89 mse_u:0.57 mse_v:0.37 psnr_avg:49.39 psnr_y:48.64 psnr_u:50.59 psnr_v:52.50
n:71 mse_avg:0.77 mse_y:0.92 mse_u:0.59 mse_v:0.36 psnr_avg:49.28 psnr_y:48.51 psnr_u:50.46 psnr_v:52.59
n:72 mse_avg:0.76 mse_y:0.90 mse_u:0.58 mse_v:0.35 psnr_avg:49.35 psnr_y:48.59 psnr_u:50.52 psnr_v:52.64
n:73 mse_avg:0.75 mse_y:0.90 mse_u:0.58 mse_v:0.36 psnr_avg:49.35 psnr_y:48.61 psnr_u:50.47 psnr_v:52.56
n:74 mse_avg:0.79 mse_y:0.94 mse_u:0.61 mse_v:0.38 psnr_avg:49.16 psnr_y:48.41 psnr_u:50.27 psnr_v:52.39
n:75 mse_avg:0.78 mse_y:0.93 mse_u:0.60 mse_v:0.37 psnr_avg:49.20 psnr_y:48.46 psnr_u:50.31 psnr_v:52.40
n:76 mse_avg:0.80 mse_y:0.96 mse_u:0.62 mse_v:0.38 psnr_avg:49.07 psnr_y:48.31 psnr_u:50.22 psnr_v:52.37
n:77 mse_avg:0.79 mse_y:0.93 mse_u:0.62 mse_v:0.37 psnr_avg:49.18 psnr_y:48.44 psnr_u:50.23 psnr_v:52.42
n:78 mse_avg:0.81 mse_y:0.96 mse_u:0.63 mse_v:0.38 psnr_avg:49.05 psnr_y:48.30 psnr_u:50.12 psnr_v:52.36
n:79 mse_avg:0.82 mse_y:0.97 mse_u:0.65 mse_v:0.38 psnr_avg:48.99 psnr_y:48.24 psnr_u:50.03 psnr_v:52.32
n:80 mse_avg:0.80 mse_y:0.95 mse_u:0.63 mse_v:0.37 psnr_avg:49.10 psnr_y:48.36 psnr_u:50.11 psnr_v:52.41
n:81 mse_avg:0.81 mse_y:0.96 mse_u:0.64 mse_v:0.38 psnr_avg:49.04 psnr_y:48.29 psnr_u:50.09 psnr_v:52.39
n:82 mse_avg:0.79 mse_y:0.93 mse_u:0.62 mse_v:0.37 psnr_avg:49.16 psnr_y:48.43 psnr_u:50.19 psnr_v:52.42
n:83 mse_avg:0.80 mse_y:0.94 mse_u:0.63 mse_v:0.37 psnr_avg:49.13 psnr_y:48.39 psnr_u:50.17 psnr_v:52.42
n:84 mse_avg:0.79 mse_y:0.94 mse_u:0.62 mse_v:0.38 psnr_avg:49.15 psnr_y:48.41 psnr_u:50.22 psnr_v:52.38
n:85 mse_avg:0.76 mse_y:0.89 mse_u:0.60 mse_v:0.37 psnr_avg:49.34 psnr_y:48.63 psnr_u:50.32 psnr_v:52.45
n:86 mse_avg:0.76 mse_y:0.90 mse_u:0.61 mse_v:0.37 psnr_avg:49.29 psnr_y:48.58 psnr_u:50.26 psnr_v:52.48
n:87 mse_avg:0.74 mse_y:0.87 mse_u:0.60 mse_v:0.37 psnr_avg:49.42 psnr_y:48.73 psnr_u:50.34 psnr_v:52.44
n:88 mse_avg:0.92 mse_y:1.10 mse_u:0.71 mse_v:0.44 psnr_avg:48.47 psnr_y:47.72 psnr_u:49.62 psnr_v:51.66
n:89 mse_avg:0.79 mse_y:0.92 mse_u:0.62 mse_v:0.40 psnr_avg:49.17 psnr_y:48.47 psnr_u:50.21 psnr_v:52.06
n:90 mse_avg:0.77 mse_y:0.90 mse_u:0.62 mse_v:0.40 psnr_avg:49.26 psnr_y:48.58 psnr_u:50.20 psnr_v:52.11
n:91 mse_avg:0.78 mse_y:0.91 mse_u:0.63 mse_v:0.40 psnr_avg:49.21 psnr_y:48.52 psnr_u:50.14 psnr_v:52.15
n:92 mse_avg:0.81 mse_y:0.96 mse_u:0.64 mse_v:0.40 psnr_avg:49.03 psnr_y:48.31 psnr_u:50.08 psnr_v:52.14
n:93 mse_avg:0.83 mse_y:0.99 mse_u:0.65 mse_v:0.40 psnr_avg:48.93 psnr_y:48.20 psnr_u:50.01 psnr_v:52.12
n:94 mse_avg:0.84 mse_y:1.00 mse_u:0.65 mse_v:0.40 psnr_avg:48.89 psnr_y:48.15 psnr_u:49.99 psnr_v:52.12
n:95 mse_avg:0.84 mse_y:1.00 mse_u:0.65 mse_v:0.40 psnr_avg:48.88 psnr_y:48.13 psnr_u:49.99 psnr_v:52.15
n:96 mse_avg:0.82 mse_y:0.97 mse_u:0.64 mse_v:0.39 psnr_avg:48.99 psnr_y:48.25 psnr_u:50.07 psnr_v:52.17
n:97 mse_avg:0.84 mse_y:1.00 mse_u:0.66 mse_v:0.40 psnr_avg:48.89 psnr_y:48.15 psnr_u:49.96 psnr_v:52.14
n:98 mse_avg:0.85 mse_y:1.01 mse_u:0.65 mse_v:0.40 psnr_avg:48.84 psnr_y:48.08 psnr_u:49.98 psnr_v:52.16
n:99 mse_avg:0.86 mse_y:1.02 mse_u:0.66 mse_v:0.40 psnr_avg:48.79 psnr_y:48.03 psnr_u:49.93 psnr_v:52.13
n:100 mse_avg:0.87 mse_y:1.04 mse_u:0.67 mse_v:0.40 psnr_avg:48.72 psnr_y:47.95 psnr_u:49.90 psnr_v:52.10
n:101 mse_avg:0.88 mse_y:1.05 mse_u:0.67 mse_v:0.40 psnr_avg:48.70 psnr_y:47.91 psnr_u:49.90 psnr_v:52.15
